order_datetime,order_gk,order_status_key,is_courier_assigned_key,cancellations_time_in_seconds
2020-07-22 18:08:07,3000583041974,4,1,198.0
2020-07-22 20:57:32,3000583116437,4,0,128.0
2020-07-22 12:07:50,3000582891479,4,1,46.0
2020-07-22 13:50:20,3000582941169,4,1,62.0
2020-07-22 21:24:45,3000583140877,9,0,
2020-07-22 21:21:23,3000583117054,9,0,
2020-07-22 07:58:15,3000582791789,9,0,
2020-07-22 07:53:46,3000582791562,9,0,
2020-07-22 08:53:01,3000582817606,9,0,
2020-07-22 06:33:52,3000582765616,4,0,78.0
2020-07-22 15:40:15,3000582991062,4,0,167.0
2020-07-22 20:59:35,3000583116472,4,0,45.0
2020-07-22 06:25:31,3000582765488,4,0,79.0
2020-07-22 16:55:28,3000583016613,4,1,188.0
2020-07-22 00:59:26,3000582566041,4,1,316.0
2020-07-22 00:04:16,3000582541301,9,0,
2020-07-22 08:49:32,3000582817413,9,0,
2020-07-22 08:18:52,3000582792866,4,0,183.0
2020-07-22 08:24:56,3000582815594,4,0,120.0
2020-07-22 08:49:02,3000582817399,9,0,
2020-07-22 13:21:15,3000582916858,4,1,475.0
2020-07-22 12:57:52,3000582916315,4,1,41.0
2020-07-22 08:37:53,3000582816590,4,1,101.0
2020-07-22 07:17:19,3000582766394,4,0,93.0
2020-07-22 14:08:23,3000632271478,4,0,117.0
2020-07-22 17:48:41,3000632371642,4,0,70.0
2020-07-22 08:59:15,3000632147622,4,1,121.0
2020-07-22 22:59:25,3000632496952,4,1,156.0
2020-07-22 22:41:17,3000632496461,4,1,527.0
2020-07-22 17:07:30,3000632347131,9,0,
2020-07-22 18:59:28,3000632396931,9,0,
2020-07-22 08:41:43,3000632146652,9,0,
2020-07-22 08:45:25,3000632146884,9,0,
2020-07-22 01:23:42,3000631970394,4,1,65.0
2020-07-22 19:14:07,3000632397297,4,0,148.0
2020-07-22 15:34:57,3000632321076,4,0,7.0
2020-07-22 07:35:36,3000632120847,4,0,104.0
2020-07-22 20:30:04,3000632445939,4,1,27.0
2020-07-22 08:44:03,3000632146785,9,0,
2020-07-22 22:57:37,3000632496894,4,0,15.0
2020-07-22 18:07:48,3000632372329,4,0,121.0
2020-07-22 17:45:10,3000632371531,4,1,123.0
2020-07-22 08:03:03,3000632121951,4,1,171.0
2020-07-22 22:58:16,3000632496928,4,0,54.0
2020-07-22 03:10:22,3000631995545,4,0,91.0
2020-07-22 03:41:55,3000632020485,4,1,22.0
2020-07-22 08:56:44,3000632147544,4,0,145.0
2020-07-22 14:23:22,3000632295709,4,0,106.0
2020-07-22 16:48:18,3000632346495,9,0,
2020-07-22 21:02:29,3000632446467,4,0,331.0
2020-07-22 00:51:19,3000631456280,4,1,30.0
2020-07-22 14:40:45,3000632296105,4,1,418.0
2020-07-22 17:08:34,3000632347155,4,0,107.0
2020-07-22 17:29:12,3000632370946,4,0,43.0
2020-07-22 03:46:22,3000632020505,4,0,77.0
2020-07-22 12:20:25,3000632221938,4,1,46.0
2020-07-22 18:04:34,3000632372217,4,1,593.0
2020-07-22 20:16:26,3000632421828,4,0,249.0
2020-07-22 19:16:56,3000632397368,4,0,120.0
2020-07-22 14:02:18,3000632271378,4,0,31.0
2020-07-22 18:10:53,3000632372417,4,0,44.0
2020-07-22 14:07:16,3000632271446,4,1,59.0
2020-07-22 17:12:18,3000632347310,4,0,15.0
2020-07-22 08:13:01,3000632122419,4,0,318.0
2020-07-22 19:17:46,3000632397392,9,0,
2020-07-22 08:56:51,3000632147549,9,0,
2020-07-22 08:32:37,3000632146010,4,1,13.0
2020-07-22 08:33:57,3000632146097,4,0,79.0
2020-07-22 21:49:08,3000632471464,4,1,7.0
2020-07-22 15:12:51,3000632296817,4,0,59.0
2020-07-22 21:43:28,3000632471376,4,1,327.0
2020-07-22 08:52:23,3000632147350,9,0,
2020-07-22 23:58:55,3000632521657,4,1,836.0
2020-07-22 07:59:06,3000632121757,4,0,117.0
2020-07-22 18:55:00,3000632396576,4,0,459.0
2020-07-22 15:33:45,3000632321024,4,1,60.0
2020-07-22 17:15:07,3000632347366,4,0,38.0
2020-07-22 19:56:11,3000632421479,4,1,27.0
2020-07-22 18:29:41,3000632396092,4,1,63.0
2020-07-22 17:16:02,3000632347406,4,0,55.0
2020-07-22 08:41:40,3000622817121,4,0,206.0
2020-07-22 07:55:16,3000622792151,9,0,
2020-07-22 08:19:58,3000622793930,9,0,
2020-07-22 09:20:34,3000622820039,4,0,20.0
2020-07-22 14:36:47,3000622966087,9,0,
2020-07-22 22:13:50,3000623143125,4,0,28.0
