,title,main_speaker,speaker_occupation,views,comments,duration,languages
0,Behind the design of Seattle's library,Joshua Prince-Ramus,Architect,967741,46,1198,19
1,My wish: A global day of film,Jehane Noujaim,Filmmaker,387877,55,1538,20
2,The freakonomics of crack dealing,Steven Levitt,Economist,2863214,95,1275,25
3,"Choice, happiness and spaghetti sauce",Malcolm Gladwell,Writer,7023562,355,1050,37
4,The paradox of choice,Barry Schwartz,Psychologist,10000702,991,1177,45
5,My wish: Manufactured landscapes and green education,Edward Burtynsky,Photographer,975107,58,2065,22
6,The hidden world of shadow cities,Robert Neuwirth,Author,673036,85,843,22
7,Photos of endangered cultures,Phil Borges,Photographer,882034,59,1115,29
8,"How the ""ghost map"" helped end a killer disease",Steven Johnson,Writer,684519,47,603,29
9,Everyday inventions,Saul Griffith,Inventor,442553,28,869,18
10,In praise of slowness,Carl Honoré,Journalist,2441805,226,1155,30
11,My wish: Build the Encyclopedia of Life,E.O. Wilson,Biologist,1335732,89,1355,26
12,To invent is to give,Dean Kamen,Inventor,680134,130,1207,18
13,How architecture can connect us,Thom Mayne,Architect,660909,50,1240,16
14,"Art with wire, sugar, chocolate and string",Vik Muniz,Artist,1149090,84,891,23
15,A philosophical quest for our biggest problems,Nick Bostrom,Philosopher,762264,131,1012,24
16,How to truly listen,Evelyn Glennie,Musician,4165572,296,1929,32
17,Cradle to cradle design,William McDonough,Architect,1426390,231,1205,25
18,"""La Vie en Rose""",Rachelle Garniez,Musician,443180,39,201,33
19,Swim with the giant sunfish,Tierney Thys,Marine biologist,870412,87,1001,22
20,Want to help Africa? Do business here,Ngozi Okonjo-Iweala,Economist,1044185,127,1213,32
21,Africa's cheetahs versus hippos,George Ayittey,Economist,648234,97,1070,20
22,Aid versus trade,Ngozi Okonjo-Iweala,Economist,524049,108,1330,21
23,How I built a windmill,William Kamkwamba,Inventor,1543596,174,252,44
24,"Luke, a new prosthetic arm for soldiers",Dean Kamen,Inventor,1575699,102,310,32
